curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Noturno,642.45,630.20,654.70,670.12,638.05,702.19,646.78,606.96,686.59,689.49,655.38,723.60,732.70,673.45,791.95
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,606.69,567.28,646.10,705.00,680.55,729.45,647.67,606.31,689.03,750.51,738.66,762.35,747.95,715.55,780.34
CIÊNCIAS BIOLÓGICAS - Bach - Integral,579.89,579.89,579.89,673.55,660.31,686.79,574.17,503.04,645.29,669.38,613.65,725.10,689.46,650.00,728.91
CIÊNCIAS BIOLÓGICAS - Lic - Integral,600.50,600.50,600.50,599.19,546.10,652.28,614.80,614.80,614.80,639.40,592.09,686.71,604.79,460.76,748.81
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,526.38,526.38,526.38,588.14,542.34,633.94,546.20,546.20,546.20,540.35,477.06,603.63,606.70,498.90,714.49
CIÊNCIAS ECONÔMICAS - Bach - Integral,622.11,593.58,650.64,617.25,539.41,695.09,623.15,570.17,676.12,708.74,690.01,726.57,684.93,601.87,767.99
ENGENHARIA DE PRODUÇÃO - Bach - Integral,645.34,645.34,645.34,649.91,590.98,708.84,649.23,616.63,681.83,684.52,668.23,700.80,739.95,709.85,770.04
ENGENHARIA FLORESTAL - Bach - Integral,618.77,618.77,618.77,542.20,439.58,644.81,624.63,624.63,624.63,595.87,488.24,703.49,625.74,532.46,719.02
FÍSICA - Lic - Noturno,523.66,523.66,523.66,633.27,633.27,633.27,604.30,604.30,604.30,-,-,-,614.01,537.94,690.07
GEOGRAFIA - Lic - Noturno,-,-,-,-,-,-,558.99,484.61,633.36,602.14,548.19,656.08,637.31,545.79,728.83
MATEMÁTICA - Lic - Noturno,-,-,-,687.36,687.36,687.36,579.36,502.91,655.80,663.72,616.53,710.91,643.62,523.79,763.44
PEDAGOGIA - Lic - Noturno,587.68,574.55,600.80,614.48,562.63,666.33,546.09,499.06,593.11,597.49,561.93,633.05,599.42,507.14,691.70
QUÍMICA - Lic - Noturno,-,-,-,-,-,-,584.04,584.04,584.04,-,-,-,630.29,555.91,704.66
TURISMO - Bach - Integral,-,-,-,575.04,546.21,603.86,447.19,447.19,447.19,-,-,-,615.02,522.41,707.63
