curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ABI - MATEMÁTICA - Área Básica de Ingresso (ABI) - Noturno,-,-,-,-,-,-,595.28,571.46,619.10,673.33,599.49,747.17,648.68,540.86,756.51
BIBLIOTECONOMIA - Bach - Noturno,544.20,530.06,558.35,573.57,528.01,619.13,539.15,442.56,635.75,568.76,532.35,605.18,569.19,396.88,741.50
BIOTECNOLOGIA - Bach - Integral,-,-,-,631.30,570.28,692.32,541.63,521.30,561.96,596.70,518.07,675.33,709.61,622.71,796.52
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,604.90,-,604.90,683.42,606.29,760.55,699.91,647.40,752.43,720.94,668.15,773.74,765.37,726.50,804.25
CIÊNCIAS BIOLÓGICAS - Bach - Integral,599.62,599.36,599.89,628.82,597.96,659.69,666.34,631.34,701.34,573.52,511.79,635.25,685.34,622.99,747.69
CIÊNCIAS BIOLÓGICAS - Lic - Integral,605.55,554.96,650.14,538.48,482.63,594.34,-,-,-,577.49,521.18,633.80,666.71,610.96,722.46
CIÊNCIAS SOCIAIS - Bach - Integral,604.70,560.60,648.80,560.90,446.19,675.61,574.84,509.70,639.99,626.92,554.98,698.86,645.35,560.20,730.50
EDUCAÇÃO ESPECIAL - Lic - Integral,532.81,478.74,586.89,555.83,495.14,616.53,475.37,397.00,553.74,560.06,497.66,622.46,537.11,514.10,650.13
EDUCAÇÃO FÍSICA - Bach - Integral,596.89,570.00,623.78,628.75,604.83,652.67,539.83,456.27,617.40,652.28,633.78,670.78,674.79,629.62,719.97
EDUCAÇÃO FÍSICA - Lic - Integral,533.06,504.10,602.03,634.77,619.78,649.77,526.18,512.88,539.48,613.28,588.08,638.48,655.79,616.80,694.78
ENFERMAGEM - Bach - Integral,699.08,-,699.08,602.34,594.20,610.48,604.35,550.18,658.53,704.30,674.70,733.91,711.69,643.89,779.50
ENGENHARIA CIVIL - Bach - Integral,563.98,-,563.98,558.14,434.41,681.88,637.35,605.06,669.65,625.95,567.53,684.38,621.82,481.93,761.71
ENGENHARIA DE COMPUTAÇÃO - Bach - Integral,632.53,627.26,637.81,633.37,549.86,716.89,704.15,684.84,723.46,646.79,589.73,703.86,759.52,714.31,804.73
ENGENHARIA DE MATERIAIS - Bach - Integral,613.07,583.84,642.31,638.83,517.70,759.97,605.60,598.30,612.90,610.65,535.51,685.80,695.77,613.10,778.44
ENGENHARIA DE PRODUÇÃO - Bach - Integral,587.81,569.56,606.07,567.26,468.20,666.33,630.28,601.03,659.54,644.28,561.53,727.04,678.89,583.37,774.41
ENGENHARIA ELÉTRICA - Bach - Integral,590.12,525.24,655.01,563.25,515.40,611.10,607.31,587.86,626.76,611.82,592.40,631.24,714.40,643.77,785.04
ENGENHARIA FÍSICA - Bach - Integral,537.44,-,537.44,681.30,655.24,707.37,660.08,617.70,702.46,645.80,572.41,719.19,641.30,524.19,758.41
ENGENHARIA MECÂNICA - Bach - Integral,634.94,-,634.94,620.57,515.60,725.54,617.45,580.33,654.57,637.73,580.83,694.64,688.35,588.19,788.51
ENGENHARIA QUÍMICA - Bach - Integral,462.72,439.20,486.24,597.01,509.58,684.44,672.98,-,672.98,587.96,445.29,730.63,684.53,604.78,764.29
ESTATÍSTICA - Bach - Integral,709.63,-,709.63,652.37,599.99,704.76,-,-,-,635.16,535.13,735.19,668.97,549.73,788.21
FILOSOFIA - Lic OU Bach - Área Básica de Ingresso (ABI) - Noturno,539.93,-,539.93,547.24,513.54,580.95,625.37,625.16,625.59,579.76,456.23,703.30,570.85,470.23,671.48
FÍSICA - Lic - Noturno,570.93,-,570.93,611.36,-,611.36,595.66,-,595.66,678.43,654.99,701.87,625.30,570.51,680.10
FÍSICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FISIOTERAPIA - Bach - Integral,-,-,-,661.52,636.15,686.89,651.80,615.70,687.90,689.50,654.95,724.05,719.42,682.85,755.99
GERONTOLOGIA - Bach - Integral,519.53,-,519.53,581.50,529.18,633.83,568.98,552.93,585.03,569.96,499.88,640.04,603.54,542.07,665.01
GESTÃO E ANÁLISE AMBIENTAL - Bach - Integral,568.97,549.31,588.63,586.43,534.50,638.36,552.53,552.25,552.81,594.86,550.03,639.69,615.19,532.49,697.89
IMAGEM E SOM - Bach - Noturno,606.22,554.95,657.50,606.73,548.36,665.10,617.14,545.01,689.28,697.29,676.80,717.78,731.22,689.13,773.31
LETRAS ESPANHOL - Lic - Noturno,571.29,509.39,633.19,597.44,537.00,657.88,621.59,614.74,628.45,671.55,-,671.55,612.22,535.76,688.68
LETRAS INGLÊS - Lic - Noturno/Português,-,-,-,566.26,522.00,610.53,617.50,-,617.50,679.94,-,679.94,644.76,560.79,728.73
LINGUÍSTICA - Bach - Vespertino,573.50,565.11,581.90,578.29,530.49,626.09,590.11,555.79,624.43,637.85,606.26,669.44,631.45,513.46,749.45
MATEMÁTICA - Lic OU Bach - Área Básica de Ingresso (ABI) - Integral,-,-,-,-,-,-,595.28,571.46,619.10,673.33,599.49,747.17,650.18,540.86,756.51
MEDICINA - Bach - Integral,731.73,729.18,734.29,759.04,738.98,779.10,763.60,752.00,775.21,789.01,785.01,793.01,803.99,792.45,815.54
PEDAGOGIA - Lic - Matutino,520.63,-,520.63,527.49,-,527.49,532.75,438.56,626.94,604.09,514.91,693.28,619.63,529.23,710.04
PEDAGOGIA - Lic - Noturno,541.99,532.10,551.89,602.61,554.75,650.48,558.06,477.53,638.60,631.23,578.08,684.39,625.04,544.69,705.39
PSICOLOGIA - Bach - Integral,708.58,-,708.58,682.66,661.09,704.23,670.22,635.18,705.26,692.82,672.34,713.30,755.71,729.63,781.79
QUÍMICA - Bach - Integral,536.37,535.53,537.21,-,-,-,638.86,633.32,644.41,563.67,538.37,688.98,633.29,519.72,746.87
QUÍMICA - Lic - Noturno,596.01,-,596.01,613.48,583.69,643.28,463.25,-,463.25,586.30,510.81,661.80,600.62,488.95,712.30
TERAPIA OCUPACIONAL - Bach - Integral,553.30,494.79,611.82,608.42,559.34,657.51,620.55,591.16,642.94,650.62,597.64,703.60,689.01,651.52,723.51
TRAD. E INT. EM LÍNG. BRAS. DE SINAIS – LIBRAS/LÍNG. PORT. - Bach - Integral,557.99,538.00,577.99,590.46,572.17,608.76,569.94,-,569.94,-,-,-,553.49,466.89,640.09
