curso,g5-sisu,g5-menor,g5-maior,g4-sisu,g4-menor,g4-maior,g3-sisu,g3-menor,g3-maior,g2-sisu,g2-menor,g2-maior,g1-sisu,g1-menor,g1-maior
BIBLIOTECONOMIA - Bach - Noturno,667.91,595.44,741.14,656.38,597.84,648.79,660.61,623,668.16,665566.8,554.64,657.68,634.93,514.75,657.83
BIOTECNOLOGIA - Bach - Integral,748.73,694.51,788.63,729.24,685.28,741.86,684.53,671.23,697.61,770099.3,660.12,724.16,682.78,645.9,695.62
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,753.96,667.63,780.58,738.08,667.74,737.01,706.29,620.4,729.78,770066.98,672.99,708.08,670.15,652.16,673.6
CIÊNCIAS BIOLÓGICAS - Bach - Integral,736.08,629,742.5,725.15,596.86,681.74,733.91,685.99,733.91,669900.81,562.09,678.23,666.05,625.93,635.59
CIÊNCIAS BIOLÓGICAS - Lic - Integral,697.24,625.61,740.74,678.83,599.6,678.83,648,576.53,642.91,667700.13,613.86,654.68,640.89,539.48,632.9
CIÊNCIAS SOCIAIS - Bach - Integral,693.96,573.27,779.67,667.81,563.96,695.09,646.94,593.99,670.19,665566.26,522.44,662.31,634.44,550.89,626.61
EDUCAÇÃO ESPECIAL - Lic - Integral,635.87,544.27,640.24,628.14,513.19,630.91,615,475.37,572.14,661144.81,526.79,610.3,610.69,506.76,608.01
EDUCAÇÃO FÍSICA - Bach - Integral,699.63,643.68,713.38,668.27,628.38,657.97,623.82,623.82,623.82,668855.78,625.08,625.08,621.08,446.03,446.03
EDUCAÇÃO FÍSICA - Lic - Integral,661.82,592.77,674.83,644.02,610.23,638.62,628.57,621.15,647.7,663344.25,605.92,632.83,620.63,566.77,635.22
ENFERMAGEM - Bach - Integral,724.35,485.5,748.15,722.65,573.65,591.03,681.58,633,664.99,770022.56,702.56,703.98,668.79,393.3,393.3
ENGENHARIA CIVIL - Bach - Integral,766.86,682.5,807.91,751.93,646.34,742.81,728.25,726.66,742.21,772288.7,651.5,738.48,708.84,641.19,708.84
ENGENHARIA DE COMPUTAÇÃO - Bach - Integral,786.04,706.4,785.49,764.34,743.16,768.14,743.31,663.33,725.63,774466.76,706.98,765.79,716.76,677.36,718.24
ENGENHARIA DE MATERIAIS - Bach - Integral,767.26,729.84,809.14,743.53,714.24,771.36,704.79,668.57,743.86,771100.47,674.56,727.6,694.63,678.86,713.5
ENGENHARIA DE PRODUÇÃO - Bach - Integral,770.4,727.21,781.47,743.01,709.43,784.6,705.4,697.71,713.93,771199.01,679.33,777.34,687.69,635.96,708.04
ENGENHARIA ELÉTRICA - Bach - Integral,768.9,681.73,780.13,753.31,678.03,713.59,732.76,666.47,753.33,772222.36,691,729.67,701.03,633.83,710.96
ENGENHARIA FÍSICA - Bach - Integral,775.46,718.23,809.84,747.11,719.94,754.2,719.19,607.46,767.46,771177.43,685.04,795.76,702.17,658.71,706.43
ENGENHARIA MECÂNICA - Bach - Integral,782.49,704.66,790.44,758.24,693.43,749.51,730.39,669.19,735.31,773355.64,692.96,738.44,713.67,668.79,717.16
ENGENHARIA QUÍMICA - Bach - Integral,766.54,713.23,774.23,746.14,707.08,771.16,731.89,682.9,735.61,772233.83,690.01,735.98,708.16,647.69,703.3
ESTATÍSTICA - Bach - Integral,725.87,617.4,722.35,707.08,598.87,701.9,648.23,511.95,648.23,666666.93,619.65,694.37,656.07,636.75,702.1
FILOSOFIA - Lic OU Bach - Área Básica de Ingresso (ABI) - Noturno,698.56,614.33,761.83,689.76,609.41,698.99,665.55,624.85,689.21,667700.43,628.33,714.76,657.1,607.98,657.1
FÍSICA - Lic - Noturno,722.93,467.87,724.76,703.91,576.24,631.96,657.5,614.63,657.5,669922.27,453.16,608.24,670.9,480.1,673.99
