curso,g1-sisu,g1-menor,g1-maior,g2-sisu,g2-menor,g2-maior,g3-sisu,g3-menor,g3-maior,g4-sisu,g4-menor,g4-maior,g5-sisu,g5-menor,g5-maior
ADMINISTRAÇÃO - Bach - Noturno,650.01,600.54,668.26,672.69,602.75,696.16,666.91,615.14,678.79,698.18,623.23,708.89,727.70,636.43,742.71
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,651.83,618.36,663.25,683.99,603.70,704.48,666.56,583.80,696.78,718.83,629.50,719.86,737.44,665.83,760.01
CIÊNCIAS BIOLÓGICAS - Bach - Integral,643.40,607.65,630.70,670.55,622.49,692.51,671.10,671.10,713.10,702.45,620.79,710.89,712.49,640.74,718.38
CIÊNCIAS BIOLÓGICAS - Lic - Integral,624.28,534.70,643.45,643.15,629.56,663.54,641.56,509.11,659.94,670.99,533.85,685.44,686.26,572.41,700.53
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,640.45,590.88,641.61,655.30,596.68,676.68,627.89,638.18,653.26,670.91,587.08,705.74,680.26,589.75,687.36
CIÊNCIAS ECONÔMICAS - Bach - Integral,653.74,553.38,690.13,682.24,627.73,687.46,657.76,610.33,657.76,702.78,646.58,724.97,736.59,680.11,786.64
ENGENHARIA DE PRODUÇÃO - Bach - Integral,677.14,643.53,712.55,689.09,652.08,708.21,680.91,640.44,705.48,723.23,696.04,745.20,771.21,725.29,791.04
ENGENHARIA FLORESTAL - Bach - Integral,640.21,610.66,610.66,654.39,583.32,608.33,634.47,564.01,684.20,682.78,562.89,650.57,701.26,605.46,744.80
FÍSICA - Lic - Noturno,642.82,564.82,644.31,646.31,539.43,653.43,636.36,617.97,644.53,667.00,657.10,679.97,686.57,602.78,742.76
GEOGRAFIA - Lic - Noturno,624.89,564.39,652.41,645.91,552.99,670.41,646.80,628.63,694.66,664.66,600.68,664.66,678.65,592.30,763.35
MATEMÁTICA - Lic - Noturno,643.11,643.11,643.11,654.41,563.94,663.33,653.41,572.26,660.16,672.26,618.63,672.26,690.11,596.30,741.68
PEDAGOGIA - Lic - Noturno,627.40,580.10,672.31,639.71,592.01,647.08,645.40,580.44,681.70,656.04,599.99,684.98,668.30,591.55,736.80
QUÍMICA - Lic - Noturno,648.88,596.74,597.37,655.01,697.04,697.04,647.17,592.47,647.17,667.58,579.88,658.13,682.32,597.41,715.99
TURISMO - Bach - Integral,615.68,590.84,623.36,645.81,558.64,652.83,630.57,482.86,519.04,650.30,549.19,639.14,673.68,581.41,716.21
