curso,campus,redacao,matematica,linguagens,humanas,natureza
AGROECOLOGIA - Bach - Integral,Araras,2,1,1,1,2
BIOTECNOLOGIA - Bach - Integral,Araras,2,2,2,1,2
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,Araras,2,1,2,1,2
ENGENHARIA AGRONÔMICA - Bach - Integral,Araras,1,2,1,1,2
FÍSICA - Lic - Noturno,Araras,2,2,2,1,2
QUÍMICA - Lic - Noturno,Araras,2,2,2,1,2
ENGENHARIA AGRONÔMICA - Bach - Integral,Lagoa do Sino,2,2,2,1,2
ENGENHARIA AMBIENTAL - Bach - Integral,Lagoa do Sino,2,2,2,1,2
ENGENHARIA DE ALIMENTOS - Bach - Integral,Lagoa do Sino,2,2,2,1,2
ADMINISTRAÇÃO - Bach - Noturno,Sorocaba,2,2,2,1,1
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,Sorocaba,2,2,2,1,1
CIÊNCIAS BIOLÓGICAS - Bach - Integral,Sorocaba,2,1,2,1,2
CIÊNCIAS BIOLÓGICAS - Lic - Integral,Sorocaba,2,1,2,1,2
CIÊNCIAS BIOLÓGICAS - Lic - Noturno,Sorocaba,2,1,2,1,2
CIÊNCIAS ECONÔMICAS - Bach - Integral,Sorocaba,2,2,2,2,1
ENGENHARIA DE PRODUÇÃO - Bach - Integral,Sorocaba,2,2,2,1,1
ENGENHARIA FLORESTAL - Bach - Integral,Sorocaba,2,2,2,1,2
FÍSICA - Lic - Noturno,Sorocaba,2,2,2,1,2
GEOGRAFIA - Lic - Noturno,Sorocaba,2,1,2,2,1
MATEMÁTICA - Lic - Noturno,Sorocaba,2,2,2,1,1
PEDAGOGIA - Lic - Noturno,Sorocaba,2,1,2,2,1
QUÍMICA - Lic - Noturno,Sorocaba,2,2,2,1,2
TURISMO - Bach - Integral,Sorocaba,2,1,2,2,2
ABI - MATEMÁTICA - Área Básica de Ingresso (ABI) - Noturno,São Carlos,2,2,1,1,1
BIBLIOTECONOMIA - Bach - Noturno,São Carlos,2,1,2,2,1
BIOTECNOLOGIA - Bach - Integral,São Carlos,2,2,2,1,2
CIÊNCIA DA COMPUTAÇÃO - Bach - Integral,São Carlos,2,2,2,1,1
CIÊNCIAS BIOLÓGICAS - Bach - Integral,São Carlos,2,1,2,1,2
CIÊNCIAS BIOLÓGICAS - Lic - Integral,São Carlos,2,1,2,1,2
CIÊNCIAS SOCIAIS - Bach - Integral,São Carlos,1,1,2,2,1
EDUCAÇÃO ESPECIAL - Lic - Integral,São Carlos,1,1,2,2,1
EDUCAÇÃO FÍSICA - Bach - Integral,São Carlos,1,1,2,1,1
EDUCAÇÃO FÍSICA - Lic - Integral,São Carlos,1,1,2,1,1
ENFERMAGEM - Bach - Integral,São Carlos,2,1,2,1,2
ENGENHARIA CIVIL - Bach - Integral,São Carlos,1,2,2,1,2
ENGENHARIA DE COMPUTAÇÃO - Bach - Integral,São Carlos,2,2,2,1,1
ENGENHARIA DE MATERIAIS - Bach - Integral,São Carlos,1,2,1,1,2
ENGENHARIA DE PRODUÇÃO - Bach - Integral,São Carlos,1,2,2,1,1
ENGENHARIA ELÉTRICA - Bach - Integral,São Carlos,1,2,2,1,1
ENGENHARIA FÍSICA - Bach - Integral,São Carlos,1,2,1,1,2
ENGENHARIA MECÂNICA - Bach - Integral,São Carlos,1,2,2,1,1
ENGENHARIA QUÍMICA - Bach - Integral,São Carlos,1,2,2,1,2
ESTATÍSTICA - Bach - Integral,São Carlos,2,2,1,1,1
FILOSOFIA - Lic OU Bach - Área Básica de Ingresso (ABI) - Noturno,São Carlos,2,1,2,2,1
FÍSICA - Lic - Noturno,São Carlos,1,2,1,1,2
FÍSICA - Lic ou Bach - Área Básica de Ingresso (ABI) - Integral,São Carlos,2,2,1,1,2
FISIOTERAPIA - Bach - Integral,São Carlos,2,1,2,1,2
GERONTOLOGIA - Bach - Integral,São Carlos,2,1,2,2,2
GESTÃO E ANÁLISE AMBIENTAL - Bach - Integral,São Carlos,1,2,2,1,2
IMAGEM E SOM - Bach - Noturno,São Carlos,2,1,2,2,1
LETRAS - Lic - Noturno,São Carlos,2,1,2,2,1
LINGUÍSTICA - Bach - Vespertino,São Carlos,2,1,2,2,1
MATEMÁTICA - Lic ou Bach - Integral,São Carlos,2,2,1,1,1
MEDICINA - Bach - Integral,São Carlos,1,1,2,1,2
PEDAGOGIA - Lic - Matutino,São Carlos,1,1,2,2,1
PEDAGOGIA - Lic - Noturno,São Carlos,1,1,2,2,1
PSICOLOGIA - Bach - Integral,São Carlos,2,1,2,2,2
QUÍMICA - Bach - Integral,São Carlos,2,2,2,1,2
QUÍMICA - Lic - Noturno,São Carlos,1,1,1,1,1
TERAPIA OCUPACIONAL - Bach - Integral,São Carlos,2,1,2,2,2
TRAD. E INT. EM LÍNG. BRAS. DE SINAIS – LIBRAS/LÍNG. PORT. - Bach - Integral,São Carlos,1,1,2,2,1
